,Date,Hour,Temp,SMP,Is_Holiday,Is_Vac,Is_Weekend,Is_Cold,Is_HW
395,2019-07-09,05:30:00,23.07,160.8,0,1,0,0,0
396,2019-07-09,06:00:00,23.27,141.42,0,1,0,0,0
397,2019-07-09,06:30:00,23.17,196.81,0,1,0,0,0
398,2019-07-09,07:00:00,23.77,192.31,0,1,0,0,0
399,2019-07-09,07:30:00,24.43,128.72,0,1,0,0,0
400,2019-07-09,08:00:00,25.2,204.69,0,1,0,0,0
401,2019-07-09,08:30:00,26.06,169.88,0,1,0,0,0
402,2019-07-09,09:00:00,26.84,167.51,0,1,0,0,0
403,2019-07-09,09:30:00,27.53,127.99,0,1,0,0,0
404,2019-07-09,10:00:00,28.23,169.88,0,1,0,0,0
405,2019-07-09,10:30:00,28.6,209.72,0,1,0,0,0
406,2019-07-09,11:00:00,29.33,201.25,0,1,0,0,0
407,2019-07-09,11:30:00,29.71,193.09,0,1,0,0,0
408,2019-07-09,12:00:00,29.97,196.04,0,1,0,0,0
409,2019-07-09,12:30:00,30.07,198.96,0,1,0,0,0
410,2019-07-09,13:00:00,29.97,202.92,0,1,0,0,0
411,2019-07-09,13:30:00,29.94,210.53,0,1,0,0,0
412,2019-07-09,14:00:00,29.86,210.32,0,1,0,0,0
